record_id,phase_id,metric_name,metric_value,unit,source_type,source_name,custodian,data_status,notes
26,4,share_consumed_in_region,0.5,ratio,public,Lovett 2004b; US Aid 2010,,POPULATED,"Est 50%; range 41-57%."
27,4,export_route,,,public,,,OPAQUE,"Origin-destination legs not in source."
28,5,shea_content_cleo_body_cream,0.95,ratio,public,Clarity/Cleo outline,,POPULATED,"95% shea per jar."
29,5,energy_cleo,100% renewable,,public,Clarity/Cleo outline,,POPULATED,
30,5,manufacturing_location,,,public,,,OPAQUE,"Not stated."
31,5,throughput_volume,,MT or units/year,public,,,OPAQUE,"Not in source."
38,3,processing_throughput_serious_shea_senegal_agrofood,3774,MT/year,confidential,Serious Shea BPlan V8 2023,,POPULATED,"Total agro-food processed p.a. (shea, mango, moringa, baobab) at 26 facilities."
32,6,retail_sku_sizes_ml,"30,50,100",ml,public,Clarity/Cleo outline,,POPULATED,"Cleo body butter."
33,6,retail_price_30g,30,US$/30g,public,Clarity/Cleo outline,,POPULATED,"Cleo."
34,6,retail_price_per_g,1,US$/g,public,Clarity/Cleo outline,,POPULATED,"30 US$/30g."
35,6,Serious_Shea_price_to_women_groups_per_MT,4000,US$/MT,public,Clarity/Cleo outline,women_groups,POPULATED,"Current."
36,6,Cleo_value_to_women_per_MT_10pct_share,47500,US$/MT,public,Clarity/Cleo outline,women_groups,POPULATED,"10% share of retail value."
45,4,shea_export_application_chocolate_pct,90,percent,public,Clarity Coalition EP 2023,,POPULATED,"90% of all exported shea butter ends up in chocolate products; exposes C-concentration risk — near-total dependency on a single downstream buyer segment."
46,4,eu_import_standards_renewable_energy_required,1,binary,public,Clarity Coalition EP 2023,,POPULATED,"D-institutional: EU import standards mandate clean/renewable-energy processing for compliant shea. Adds compliance burden at Phase 3→4 boundary; barrier for BAU firewood-based processors. Mirrors EU deforestation regulation (EUDR) risk vector."
47,4,sahel_ingredients_market_potential_2030_eur_billion,50,EUR billion,public,Clarity Coalition EP 2023,,POPULATED,"Projected total Sahel agricultural ingredients market value by 2030. Represents the macro C-contribution ceiling for the region if supply chains are formalised; cited at European Parliament 2023."
