project_id,country,project_name,metric_name,metric_value,unit,horizon,source_url,data_status,notes
SS_SN_2023,Senegal,Serious Shea Senegal (GGW),carbon_sequestered_year_10,4200000,tCO2e,Year 10,v2/data/230424-ShortSeriousShea.BPlan_.Pres_.-V8Draft-SNJ.pdf,POPULATED,"4.2M tCO2e sequestered at Year 10; grows annually."
SS_SN_2023,Senegal,Serious Shea Senegal (GGW),hectares_plantations,1000000,ha,,v2/data/230424-ShortSeriousShea.BPlan_.Pres_.-V8Draft-SNJ.pdf,POPULATED,"1M ha trees (0.9M ha primary, 0.1M ha secondary agroforestry)."
SS_SN_2023,Senegal,Serious Shea Senegal (GGW),agrofood_processed_pa,3774,MT/year,,v2/data/230424-ShortSeriousShea.BPlan_.Pres_.-V8Draft-SNJ.pdf,POPULATED,"3774 T p.a. shea, mango, moringa, baobab."
SS_SN_2023,Senegal,Serious Shea Senegal (GGW),staff_total,750,persons,,v2/data/230424-ShortSeriousShea.BPlan_.Pres_.-V8Draft-SNJ.pdf,POPULATED,"50%+ women; plantations & processing."
SS_SN_2023,Senegal,Serious Shea Senegal (GGW),households_beneficiaries,135000,households,,v2/data/230424-ShortSeriousShea.BPlan_.Pres_.-V8Draft-SNJ.pdf,POPULATED,"135,000 households; 5x income target; 20% shares (women & youth cooperatives)."
SS_SN_2023,Senegal,Serious Shea Senegal (GGW),cooperative_workers,13500,persons,,v2/data/230424-ShortSeriousShea.BPlan_.Pres_.-V8Draft-SNJ.pdf,POPULATED,"At least 50% women; equal payment and land rights."
SS_SN_2023,Senegal,Serious Shea Senegal (GGW),income_multiple_vs_min_wage,5,multiple,,v2/data/230424-ShortSeriousShea.BPlan_.Pres_.-V8Draft-SNJ.pdf,POPULATED,"Income at least 5x minimum wage (ref US$166.65/year 2023 or US$117/year)."
SS_SN_2023,Senegal,Serious Shea Senegal (GGW),community_fund_share_pct,20,%,,v2/data/230424-ShortSeriousShea.BPlan_.Pres_.-V8Draft-SNJ.pdf,POPULATED,"20% Golden Organics shares held in Community Fund (Senegal Women's & Youth Cooperatives)."
SS_SN_2023,Senegal,Serious Shea Senegal (GGW),facilities_total,26,facilities,,v2/data/230424-ShortSeriousShea.BPlan_.Pres_.-V8Draft-SNJ.pdf,POPULATED,"18 multi-use clean energy processing + 2 shea butter clusters (2 regional + 3 collection each) + circular economy."
SS_SN_2023,Senegal,Serious Shea Senegal (GGW),nurseries_count,5,nurseries,,v2/data/230424-ShortSeriousShea.BPlan_.Pres_.-V8Draft-SNJ.pdf,POPULATED,"5 nurseries, each 1M seedlings p.a."
SS_SN_2023,Senegal,Serious Shea Senegal (GGW),carbon_price_assumption,10,EUR/tCO2e,,v2/data/230424-ShortSeriousShea.BPlan_.Pres_.-V8Draft-SNJ.pdf,POPULATED,"Carbon revenues @ €10/tCO2e."
SS_SN_2023,Senegal,Serious Shea Senegal (GGW),total_revenue_2033,55000000,EUR,2033,v2/data/230424-ShortSeriousShea.BPlan_.Pres_.-V8Draft-SNJ.pdf,POPULATED,"Total revenue €55M (industry + carbon)."
SS_SN_2023,Senegal,Serious Shea Senegal (GGW),senegal_gdp_usd,27700000000,US$,latest,v2/data/230424-ShortSeriousShea.BPlan_.Pres_.-V8Draft-SNJ.pdf,POPULATED,"World Bank; context slide."
SS_SN_2023,Senegal,Serious Shea Senegal (GGW),senegal_rural_energy_access_pct,38,%,,v2/data/230424-ShortSeriousShea.BPlan_.Pres_.-V8Draft-SNJ.pdf,POPULATED,"UN SE4all-africa.org."
AGRTECH,Multi,Agritech Group,shea_nuts_volume_min,5000,MT/year,,v2/data/230424-ShortSeriousShea.BPlan_.Pres_.-V8Draft-SNJ.pdf,POPULATED,"5-10,000 T/year shea nuts organised for international markets."
AGRTECH,Multi,Agritech Group,shea_nuts_volume_max,10000,MT/year,,v2/data/230424-ShortSeriousShea.BPlan_.Pres_.-V8Draft-SNJ.pdf,POPULATED,"5-10,000 T/year shea nuts."
MIROVA_SN,Senegal,Mirova Shea Senegal Feasibility,land_use_shea_site_shrubs_pct,19.16,%,,v2/data/Mirova-Shea-Senegal-Feasibility-Report-v1.1.pdf,POPULATED,"Land cover: Shea project site (table p.92)."
MIROVA_SN,Senegal,Mirova Shea Senegal Feasibility,land_use_shea_site_open_forest_pct,56.84,%,,v2/data/Mirova-Shea-Senegal-Feasibility-Report-v1.1.pdf,POPULATED,"Land cover: Shea project site (table p.92)."
ACORN_080523,Senegal,Acorn Project Summary May 2023,pilot_farmers_koul,50,persons,,v2/data/080523-Acorn-Project-Summary-Completed.docx,POPULATED,"Existing farmer participants in Koul (pilot community farms)."
ACORN_080523,Senegal,Acorn Project Summary May 2023,potential_participants_10y,100000,persons,10 years,v2/data/080523-Acorn-Project-Summary-Completed.docx,POPULATED,"Potential additional participants (community members, women/youth, families) in next 10 years."
ACORN_080523,Senegal,Acorn Project Summary May 2023,plot_size_ha_per_farmer,1,ha,,v2/data/080523-Acorn-Project-Summary-Completed.docx,POPULATED,"Estimated average plot size per existing farmer."
ACORN_080523,Senegal,Acorn Project Summary May 2023,PAPSEN_irrigated_ha,400,ha,,v2/data/080523-Acorn-Project-Summary-Completed.docx,POPULATED,"PAPSEN programme: irrigated perimeters target (Thiès, Diourbel, Fatick)."
ACORN_080523,Senegal,Acorn Project Summary May 2023,PAPSEN_financing_eur_min,30000000,EUR,,v2/data/080523-Acorn-Project-Summary-Completed.docx,POPULATED,"PAPSEN financing >30M euros (Senegal-Italy-Israel cooperation)."
ACORN_080523,Senegal,Acorn Project Summary May 2023,partner_active_since,2007,year,,v2/data/080523-Acorn-Project-Summary-Completed.docx,POPULATED,"Local partner (Golden Organics/Serious Shea) active since 2007 in Burkina, Benin, Togo, CIV, Nigeria, Cameroon."
GEORGE_230401,Senegal,George Comments BP April 2023,senegal_area_km2,196712,km2,,v2/data/230401-George-Commnts-SS-Senegal-BP-.docx,POPULATED,"Senegal land area."
GEORGE_230401,Senegal,George Comments BP April 2023,senegal_population,17000000,persons,,v2/data/230401-George-Commnts-SS-Senegal-BP-.docx,POPULATED,"Population over 17 million."
GEORGE_230401,Senegal,George Comments BP April 2023,GGW_priority_area_km2,116000,km2,,v2/data/230401-George-Commnts-SS-Senegal-BP-.docx,POPULATED,"GGW focus area at highest risk/highest potential (11.6M ha)."
GEORGE_230401,Senegal,George Comments BP April 2023,GGW_senegal_starts_ha,1000000,ha,,v2/data/230401-George-Commnts-SS-Senegal-BP-.docx,POPULATED,"First 1M ha starts with Senegal."
SDG_FW_2023,Senegal,Serious Shea Global Indicator Framework SDG,baseline_workers,100000,persons,,v2/data/Serious-Shea-Global-Indicator-Framework-after-2023-refinement.English.xlsx,POPULATED,"Baseline: 100,000 workers (SDG framework)."
SDG_FW_2023,Senegal,Serious Shea Global Indicator Framework SDG,baseline_people,1000000,persons,,v2/data/Serious-Shea-Global-Indicator-Framework-after-2023-refinement.English.xlsx,POPULATED,"Baseline: 1 M people (SDG framework)."
SDG_FW_2023,Senegal,Serious Shea Global Indicator Framework SDG,target_poverty_zero,Zero,,2030,v2/data/Serious-Shea-Global-Indicator-Framework-after-2023-refinement.English.xlsx,POPULATED,"Serious Shea 2030 target: Zero (extreme poverty); MoV Cooperatives."
ADDITIONALITY,Senegal,Serious Shea Additionality Assessment,planting_phasing,one year,,,v2/data/Serious-Shea-Additionality-Assessment1.docx,POPULATED,"Farmers plant all trees in one year (easier management, same age/inputs)."
