record_id,phase_id,entity,country,date,metric_name,metric_value,unit,source_type,source_name,url,notes
13,3,DDBRA,Romania,2022-01-01,total_harvestable_standing_stock_kt,800,kt,public,DDBRA Harvest Management Plan 2022,https://www.ddbra.ro,Total standing stock eligible for harvest (accessible zone); 800 kt vs 560 kt sustainable annual quota; harvesting only 25% of quota
14,3,DDBRA,Romania,2022-01-01,accessible_harvest_area_ha,58000,ha,public,DDBRA Harvest Zone Map 2022,https://www.ddbra.ro,Area of delta reed bed in buffer and sustainable use zones accessible to commercial harvest under DDBRA permits
15,3,DDBRA,Romania,2022-01-01,core_zone_protected_ha,87500,ha,public,DDBRA Core Zone Management Plan 2022,https://www.ddbra.ro,Total area in DDBRA core protection zone permanently excluded from commercial harvest; primary biodiversity refuge
16,4,EEA,Danube Basin,2021-01-01,water_purification_value_eur_mn_yr,45,EUR million/yr,public,EEA MAES Ecosystem Services Valuation Danube Wetlands 2021,https://www.eea.europa.eu,Economic value of water purification services provided by delta reed beds (nitrogen and phosphorus uptake; particle filtration)
17,4,EEA,Danube Basin,2021-01-01,biodiversity_habitat_value_eur_mn_yr,28,EUR million/yr,public,EEA MAES Ecosystem Services Valuation 2021,https://www.eea.europa.eu,Economic value of reed bed habitat for 320+ dependent species; 42 nesting bird species; 28 fish species using reed nurseries
18,4,EEA,Danube Basin,2021-01-01,flood_buffer_value_eur_mn_yr,22,EUR million/yr,public,EEA MAES Ecosystem Services Valuation 2021,https://www.eea.europa.eu,Economic value of flood peak attenuation and stormwater buffering by delta reed wetlands
19,4,DDBRA,Romania,2022-01-01,current_harvest_revenue_eur_mn_yr,38,EUR million/yr,public,DDBRA Economic Assessment 2022,https://www.ddbra.ro,Actual annual revenue from commercial reed harvest (thatching + bulk biomass combined)
20,4,DDBRA,Romania,2022-01-01,harvest_revenue_potential_eur_mn_yr,85,EUR million/yr,inferred,DDBRA Economic Assessment + thatching market price analysis 2022,https://www.ddbra.ro,Potential annual harvest revenue if sustainable quota (560 kt) utilised and thatching grade share raised to 55%
21,0,EU Habitats Directive,Danube Basin,2022-01-01,natura2000_reed_habitat_km2,1980,km2,public,EU Habitats Directive Art 17 reporting cycle 2022,https://ec.europa.eu/environment/nature,Total Natura 2000 designated reed bed and wetland habitat area in Danube basin; predominantly delta and lower floodplain
22,4,Verra,Danube Basin,2024-01-01,active_wetland_carbon_projects,1,count,public,Verra VCS Registry 2024: Danube wetland search,https://registry.verra.org,Active Verra VCS wetland carbon projects in Danube Delta; only 1 active vs 0.65 Mt CO2/yr theoretical potential
23,2,DDBRA,Romania,2022-01-01,annual_biomass_production_kt,800,kt dry weight/yr,public,DDBRA Annual Production Statistics 2022,https://www.ddbra.ro,Total annual dry biomass production across all accessible delta reed beds; 2800 km2 basin total
24,0,DDBRA,Romania,2022-01-01,carbon_stock_mt_co2,8.5,Mt CO2,inferred,EEA wetland carbon stock methodology applied to DDBRA reed area data,https://www.ddbra.ro,Total carbon stock in Danube basin reed beds (above-ground biomass + peat/soil); includes 1750 km2 delta area
25,4,FAO,Global,2022-01-01,global_thatching_reed_demand_kt_yr,280,kt/yr,public,FAO Phragmites Biomass Review 2022,https://www.fao.org,Global demand for thatching-quality Phragmites; Danube Delta is largest single supplier; significant unmet demand in premium markets
