record_id,value_phase_id,entity_id,country,date,period_type,metric_name,metric_value,unit,source_type,source_name,url,notes
17,1,E002,Multi,2024-12-31,quarterly,aisc_usd_per_oz,1370,USD/oz,simulated,Educational Synthetic - Barrick starter,,Synthetic seed for educational quarterly resolution (not real data)
18,1,E002,Multi,2024-12-31,quarterly,cash_cost_usd_per_oz,960,USD/oz,simulated,Educational Synthetic - Barrick starter,,Synthetic seed for educational quarterly resolution (not real data)
19,1,E002,Multi,2024-12-31,annual,aisc_usd_per_oz,1358,USD/oz,simulated,Educational Synthetic - Barrick starter,,Annual rollup placeholder (average of quarters; not real data)
20,1,E002,Multi,2024-12-31,annual,cash_cost_usd_per_oz,950,USD/oz,simulated,Educational Synthetic - Barrick starter,,Annual rollup placeholder (average of quarters; not real data)
21,1,E001,Multi,2024-12-31,annual,realized_price_usd_per_oz,2385,USD/oz,simulated,Educational Synthetic - 2024 annual average price,,2024 annual avg realized price (see simulator slider for current price)
22,1,E001,Multi,2024-12-31,annual,royalties_usd_per_oz,50,USD/oz,simulated,Educational Synthetic - WGC AISC methodology,,Royalties and production taxes component of AISC
23,1,E001,Multi,2024-12-31,annual,sustaining_capex_usd_per_oz,178,USD/oz,simulated,Educational Synthetic - WGC AISC methodology,,Sustaining capital expenditure component of AISC
24,1,E001,Multi,2024-12-31,annual,g_and_a_usd_per_oz,82,USD/oz,simulated,Educational Synthetic - WGC AISC methodology,,Corporate G&A allocated to operating mine
25,1,E001,Multi,2024-12-31,annual,sustaining_exploration_usd_per_oz,55,USD/oz,simulated,Educational Synthetic - WGC AISC methodology,,Sustaining exploration drilling at operating properties
26,1,E001,Multi,2024-12-31,annual,reclamation_usd_per_oz,42,USD/oz,simulated,Educational Synthetic - WGC AISC methodology,,Environmental reclamation and mine closure accrual
27,1,E001,Multi,2024-12-31,annual,production_volume_moz,6.0,Moz/yr,simulated,Educational Synthetic - Reference production volume,,Annual gold production reference (synthetic; not real data)
28,1,E002,Multi,2024-12-31,annual,realized_price_usd_per_oz,2385,USD/oz,simulated,Educational Synthetic - 2024 annual average price,,2024 annual avg realized price (see simulator slider for current price)
29,1,E002,Multi,2024-12-31,annual,royalties_usd_per_oz,48,USD/oz,simulated,Educational Synthetic - WGC AISC methodology,,Royalties and production taxes component of AISC
30,1,E002,Multi,2024-12-31,annual,sustaining_capex_usd_per_oz,178,USD/oz,simulated,Educational Synthetic - WGC AISC methodology,,Sustaining capital expenditure component of AISC
31,1,E002,Multi,2024-12-31,annual,g_and_a_usd_per_oz,80,USD/oz,simulated,Educational Synthetic - WGC AISC methodology,,Corporate G&A allocated to operating mine
32,1,E002,Multi,2024-12-31,annual,sustaining_exploration_usd_per_oz,55,USD/oz,simulated,Educational Synthetic - WGC AISC methodology,,Sustaining exploration drilling at operating properties
33,1,E002,Multi,2024-12-31,annual,reclamation_usd_per_oz,47,USD/oz,simulated,Educational Synthetic - WGC AISC methodology,,Environmental reclamation and mine closure accrual
34,1,E002,Multi,2024-12-31,annual,production_volume_moz,4.8,Moz/yr,simulated,Educational Synthetic - Reference production volume,,Annual gold production reference (synthetic; not real data)
35,2,E001,Multi,2024-12-31,annual,phase_cost_usd_per_oz,45,USD/oz,simulated,Educational Synthetic - Toll milling benchmark,,Ore processing toll milling fee; typical industry range $30-60/oz
36,3,E001,Multi,2024-12-31,annual,phase_cost_usd_per_oz,12,USD/oz,simulated,Educational Synthetic - Smelting charge benchmark,,Smelting/doré production charge; typical $8-15/oz
37,4,E001,Multi,2024-12-31,annual,phase_cost_usd_per_oz,4,USD/oz,simulated,Educational Synthetic - LBMA refining benchmark,,LBMA-grade refining charge; typical $2-6/oz
38,5,E001,Multi,2024-12-31,annual,phase_cost_usd_per_oz,1,USD/oz,simulated,Educational Synthetic - Assay fee benchmark,,Assay and certification fee; typical $0.5-2/oz
39,6,E001,Multi,2024-12-31,annual,phase_cost_usd_per_oz,3,USD/oz,simulated,Educational Synthetic - Logistics benchmark,,Insured logistics cost; typical $2-5/oz
40,7,E001,Multi,2024-12-31,annual,phase_cost_usd_per_oz,2,USD/oz,simulated,Educational Synthetic - COMEX benchmark,,Exchange registration and delivery cost; typical $1-3/oz
41,8,E001,Multi,2024-12-31,annual,phase_cost_usd_per_oz,20,USD/oz,simulated,Educational Synthetic - Fabrication benchmark,,End-use fabrication charge (avg jewelry/industrial); typical $10-35/oz
