phase_id,indicator_id,indicator_label,role,scoring_rule,max_points,waste_stream,source_hint
5,P5_N3,Lubricant and coolant volume used and disposed declared,N,+10 if volume and disposal route stated; +5 if acknowledged; 0 if absent,10,Cutting lubricants,National waste regulations
5,P5_D1,Filings recovery policy and refiner destination documented,D,+20 if recovery rate and refiner destination named; +10 if policy exists without destination; 0 if absent,20,Metal shavings / filings,Internal refinery records
5,P5_D2,Assay cupel waste classified as hazardous and licensed disposal confirmed,D,+20 if hazardous classification and licensed facility; +10 if licensed facility named without classification; 0 if absent,20,Assay cupel waste,National hazardous waste regulations
5,P5_C1,Independent verification of filings recovery rate (weight reconciliation),C,+25 if external auditor verifies; +12 if internal reconciliation; 0 otherwise,25,Metal shavings / filings,External assayer or auditor
5,P5_C2,Cupel waste disposal manifest matched to licensed facility,C,+20 if manifest on file; +10 if company-stated disposal; 0 otherwise,20,Assay cupel waste,Licensed hazardous waste facility
6,P6_N1,HVAC energy consumption declared per vault per year,N,+15 if declared in kWh with source (utility bill); +8 if estimated; 0 if absent,15,Climate-control energy,Utility bill / energy audit
6,P6_N2,Armoured transport fuel consumption and route distance declared,N,+15 if fuel per route declared; +8 if annual aggregate; 0 if absent,15,Transport diesel exhaust,Transport operator records
6,P6_N3,Packaging and desiccant waste volume declared,N,+10 if declared; +5 if acknowledged; 0 if absent,10,Packaging waste,Internal logistics records
6,P6_D1,Energy efficiency policy for vault climate control documented,D,+20 if policy with measurable kWh target; +10 if generic energy policy; 0 if absent,20,Climate-control energy,Internal sustainability policy
6,P6_D2,Transport emissions reduction plan aligned to science-based target,D,+20 if SBT-aligned; +10 if plan exists without SBT reference; 0 if absent,20,Transport diesel exhaust,Science Based Targets initiative
6,P6_C1,Third-party energy audit of vault facility within 36 months,C,+25 if from certified energy auditor; +12 if internal audit; 0 otherwise,25,Climate-control energy,ISO 50001 or equivalent
6,P6_C2,Transport emissions verified by logistics provider third-party report,C,+20 if logistics provider's external sustainability report covers this route; +10 if provider self-reported; 0 otherwise,20,Transport diesel exhaust,Transport operator sustainability report
7,P7_N1,Data centre energy consumption for registry systems declared,N,+15 if declared in kWh with utility or cloud provider invoice; +8 if estimated; 0 if absent,15,Data centre energy,Cloud provider sustainability report (e.g. AWS/Azure)
7,P7_N2,Paper documentation and packaging waste volume declared,N,+10 if declared; +5 if acknowledged; 0 if absent,10,Paper / packaging,Internal records
7,P7_D1,Exchange IT infrastructure covered by renewable energy commitment,D,+20 if exchange has public renewable energy certificate (REC) or PPA covering registry systems; +10 if commitment without certificate; 0 if absent,20,Data centre energy,Exchange sustainability report (COMEX/CME Group; LME/HKEX)
7,P7_D2,Electronic dematerialisation policy reducing paper documentation,D,+15 if policy in force with measurable paper reduction target; +8 if policy exists without target; 0 if absent,15,Paper / packaging,Exchange operational policy
7,P7_C1,Exchange sustainability report independently verified (third-party assurance),C,+30 if sustainability report carries external assurance statement; +15 if company-stated only; 0 if no report,30,All streams,Exchange annual/sustainability report
7,P7_C2,Cloud or data centre provider third-party carbon neutrality certification,C,+20 if provider holds valid third-party carbon neutrality or net-zero cert; +10 if self-declared; 0 if absent,20,Data centre energy,CDP; ISO 14064; cloud provider cert
