record_id,phase_id,entity,country,date,metric_name,metric_value,unit,source_type,source_name,url,notes
17,1,Australian Gold and Lead Sector,Australia,2003-06-30,ghg_source_split_land_prep_pct,6,percent,public,Foran et al. 2005 Balancing Act Vol 2,https://www.environment.gov.au/,Land preparation share of total sector GHG emissions.
18,1,Australian Gold and Lead Sector,Australia,2003-06-30,ghg_source_split_diesel_pct,4,percent,public,Foran et al. 2005 Balancing Act Vol 2,https://www.environment.gov.au/,Diesel refining (embodied) share of total sector GHG emissions.
19,1,Australian Gold and Lead Sector,Australia,2050-01-01,production_forecast_tonnes_year,500,t/year,public,Foran et al. 2005 Balancing Act Vol 2 (CSIRO Future Dilemmas scenario),https://www.environment.gov.au/,CSIRO 2050 forecast. Assumes continued exploration success and lift of central bank price constraints post-2020.
20,1,Newmont Corporation,Global,2024-12-31,land_reclaimed_ha,192,ha/year,public,Newmont 2024 Sustainability Report,https://sustainability.newmont.com/,Concurrent reclamation in 2024. Exceeded target of 162 ha. D-natural constraint evidence: land disturbance and progressive closure are irreducible physical obligations of Phase 1.
21,1,Newmont Corporation,Global,2024-12-31,lbma_rgg_audit_compliance,1,binary,public,Newmont 2024 Sustainability Report,https://sustainability.newmont.com/,"Customer audits completed at Ahafo South (Ghana), Lihir (PNG), Yanacocha (Peru). No major non-compliance reported. D-institutional confirmation: LBMA Responsible Gold Guidance compliance is verified by customer audits at the mine level — the D-institutional burden of the LBMA standard extends upstream to Phase 1, not only to Phase 4 (Refining)."
22,1,Newmont Corporation,Global,2024-12-31,supplier_human_rights_flagged_pct,24,percent,public,Newmont 2024 Sustainability Report,https://sustainability.newmont.com/,"194 of 812 responding suppliers (from 1040 screened) flagged for higher human rights risk. 78% response rate. C-parameter: supplier network integrity and due diligence depth. Indicates 24% of supplier base carries elevated human rights exposure — structural C-fragility at Phase 1."
23,1,Newmont Corporation,Global,2024-12-31,direct_economic_contributions_usd_billion,16.0,USD billion/year,public,Newmont 2024 Sustainability Report,https://sustainability.newmont.com/,Total direct economic contributions in 2024 across all operations. Value chain context for Phase 1 at scale of world's largest gold miner.
24,1,Newmont Corporation,Global,2024-12-31,community_investment_usd_million,69,USD million/year,public,Newmont 2024 Sustainability Report,https://sustainability.newmont.com/,Community investment in 2024. 0.43% of total direct economic contribution. C-parameter proxy: social integration investment at Phase 1.
25,2,Newmont Corporation,Global,2024-12-31,water_recycled_rate_pct,71,percent,public,Newmont 2024 Sustainability Report,https://sustainability.newmont.com/,Water recycled as percentage of total water used across all processing operations in 2024. Up from 65% in 2018 baseline. C-parameter for Phase 2: environmental integration / circular resource use at ore processing.
26,2,Newmont Corporation,Global,2018-12-31,water_recycled_rate_baseline_pct,65,percent,public,Newmont 2024 Sustainability Report,https://sustainability.newmont.com/,2018 baseline water recycling rate. Provides trend context for 2024 figure of 71%.
27,2,Newmont Corporation,Global,2024-12-31,cyanide_spills_count,30,count/year,public,Newmont 2024 Sustainability Report,https://sustainability.newmont.com/,"30 cyanide-related spills in 2024. 33% decrease from 2023 in spills containing >50 mg/L WAD CN (the higher-risk threshold). D-natural constraint evidence: cyanide management is an irreducible environmental cost of Phase 2 (leach processing). Part of Newmont's Path to Zero Cyanide Spills program."
