relationship_name	count
includes_quantity	7
includes_species	7
indicates	7
is_analogous_to	7
is_a_type_of	7
is_state_of	7
is_used_in	7
modifies	7
observed_in	7
originated_in	7
output_material	7
overcomes	7
pertains_to	7
poses_risk_to	7
predicts	7
provides_metric	7
published_on_date	7
regulated_by	7
relationship_name: contains; entity_name: i ching; entity_description: Ancient Chinese divination text and philosophical system.	7
relationship_name: contains; entity_name: jeff milton; entity_description: Contributor to the book THOLONIA.	7
relationship_name: contains; entity_name: thologram; entity_description: Geometric architecture referenced in earlier chapters, related to tholonic representation.	7
relationship_name: contains; entity_name: tholonic model; entity_description: A model interpreting the I Ching through patterns of creation and transformation.	7
relationship_name: contains; entity_name: tvpciinstance; entity_description: Measures structural coherence of a supply chain based on irreducible properties.	7
relationship_name: contains; entity_name: π; entity_description: A mathematical constant representing the ratio of a circle's circumference to its diameter.	7
researched	7
responds_to	7
source	7
start_date	7
tests	7
understands	7
uses_concept	7
works_at	7
works_for	7
adjusted_by	6
analyzed	6
arises_from	6
assigns_weight	6
associated_with_phases	6
balances_with	6
belongs_to_realm	6
born_on	6
can_be	6
candidate_for	6
can_recognize	6
child_of	6
coined	6
conducted_research_in	6
connects_point	6
connects_vertex	6
contains_chapter	6
coordinates	6
correlates_with	6
data_source	6
differs_from	6
exported_to	6
exports_to	6
extends_to	6
factor	6
formed_from	6
funded_by	6
gives_rise_to	6
guides	6
has_application	6
has_archetype	6
has_aspect	6
has_boundary	6
has_event	6
has_extreme	6
has_feature	6
has_flow	6
has_key_claim	6
has_messianic_figure	6
has_methodology	6
has_metric_type	6
has_observation	6
has_output_material	6
has_revenue_source	6
has_source	6
has_variable	6
has_virtual_counterpart	6
headquartered_in	6
hexagram_pair	6
implemented	6
includes_color	6
includes_deity	6
includes_polarity	6
includes_vertex	6
input_material	6
in_spectrum	6
integrates_into	6
is_data_source_for	6
is_form_of	6
is_property_of	6
is_source_of	6
lacks	6
licensed_under	6
lies_on	6
makes_claim	6
mentions_document	6
natural_state	6
next_stage	6
offers_window_onto	6
operated_by	6
operates_at	6
participant	6
performed	6
produces_outcome	6
provides_benefit	6
referred_to	6
registers_entity	6
related_to_claim	6
relationship_name: contains; entity_name: cn axis; entity_description: The axis connecting C (Contribution/Integration) and N (Negotiation/Balance) in the Tholonic Triad.	6
relationship_name: contains; entity_name: data; entity_description: Static, stateless by-product of energy movement	6
relationship_name: contains; entity_name: dc axis; entity_description: The axis connecting D (Definition/Limitation) and C (Contribution/Integration), where a new N-state can emerge.	6
relationship_name: contains; entity_name: duncan stroud; entity_description: Author and creator of the book THOLONIA.	6
relationship_name: contains; entity_name: e; entity_description: Euler's number, the base of natural logarithms, approximately 2.71828.	6
relationship_name: contains; entity_name: entropy; entity_description: Chapter 5 of THOLONIA, titled ENTROPY. Chapter file: 005-ENTROPY.md. Explores entropy as a physical and philosophical concept.	6
relationship_name: contains; entity_name: ln2; entity_description: Natural log of 2, value 0.693	6
relationship_name: contains; entity_name: ln_2; entity_description: The natural logarithm of 2, a transcendental number.	6
relationship_name: contains; entity_name: nd axis; entity_description: The axis connecting N (Negotiation/Balance) and D (Definition/Limitation) in the Tholonic Triad.	6
relationship_name: contains; entity_name: octahedron; entity_description: Platonic solid with eight triangular faces	6
relationship_name: contains; entity_name: phi; entity_description: The golden ratio constant.	6
relationship_name: contains; entity_name: pi_over_4; entity_description: One quarter of pi, a transcendental constant.	6
relationship_name: contains; entity_name: sqrt2; entity_description: Square root of 2, value 1.414, symbol √2	6
relationship_name: contains; entity_name: supply chain; entity_description: A network between a company and its suppliers to produce and distribute a specific product.	6
relationship_name: contains; entity_name: tetrahedron; entity_description: Platonic solid with four triangular faces	6
relationship_name: contains; entity_name: tholonic model; entity_description: A geometric model describing reality through tholons and trigrams	6
relationship_name: contains; entity_name: tholonic model; entity_description: A mathematical framework initiated from the concept of nothingness and unity.	6
relationship_name: contains; entity_name: tholonic model; entity_description: A mathematical model that begins with the simplest states and explores binary evolution and its significance.	6
relationship_name: contains; entity_name: trigram; entity_description: Three-point structure representing a fundamental duality	6
relationship_name: contains; entity_name: ubs; entity_description: A global financial services company.	6
relationship_name: contains; entity_name: φ; entity_description: The golden ratio, a mathematical constant approximately equal to 1.61803.	6
requires_infrastructure	6
requires_separation_from	6
results_from	6
shares_philosophy_with	6
tests_against	6
tied_to	6
transforms	6
underlies	6
updates	6
uses_benchmark	6
uses_data_source	6
uses_method	6
well_suited_for	6
written_in	6
above_threshold	5
addresses_commodity	5
affects_data_field	5
aims_to_achieve	5
allocated_to	5
analyzed_by	5
analyzed_using	5
asked_by	5
associated_with_crop	5
authored_about	5
carries	5
changes	5
claims	5
collaborated_with	5
composed_by	5
converges_on	5
corresponds_to_constant	5
defined	5
defines_metric_type	5
described_as	5
embodies_principle	5
emerges_in	5
enforces_validation	5
established	5
evolves_into	5
excludes	5
features	5
flows_to	5
form	5
found_in	5
fundamental_to	5
funds	5
generated	5
god_of	5
handles	5
has_balance_score	5
hasbinaryrepresentation	5
has_concept	5
has_data_category	5
has_d_seed	5
has_failure_mode	5
has_format	5
has_initial_custodian	5
has_input_material	5
has_inst	5
has_lower_trigram	5
has_meaning	5
has_module	5
has_n_start	5
has_physical_form	5
has_scope	5
has_score_range	5
has_total_angle_degrees	5
has_unit	5
hypothesized	5
includes_constant	5
includes_dimension	5
includes_layer	5
includes_number	5
includes_software	5
includes_variety	5
incorporates_concept	5
invests_in	5
involves_rootstock	5
is_archetype_of	5
is_constructed_from	5
is_one_of	5
is_parent_of	5
issued_by	5
is_symbol_of	5
label	5
leads	5
leveraged_by	5
marks_start	5
maximizes	5
means	5
measures_impact_of	5
method_to_create	5
mirrors	5
monitors	5
named_after	5
operates	5
operationalizes	5
opposes	5
optimizes_with	5
part_of_project	5
potential_partner	5
preserves	5
proposed_by	5
provides_estimate_for	5
provides_vault_custody	5
quantifies	5
quoted_in	5
recursive_architecture	5
referenced_in	5
references_constant	5
references_document	5
references_phase	5
related_to_document	5
relationship_name: contains; entity_name: argentina; entity_description: South American country, soya/beef exporter	5
relationship_name: contains; entity_name: awareness; entity_description: Conscious perception	5
relationship_name: contains; entity_name: balanceinstance; entity_description: Describes the balance and integration of states in a value chain.	5
relationship_name: contains; entity_name: chaos; entity_description: A state of disorder, often associated with high entropy, from which order can emerge.	5
relationship_name: contains; entity_name: consciousness; entity_description: A concept discussed in the chapter MEMORY	5
relationship_name: contains; entity_name: consciousness; entity_description: Awareness or sentience, described here as a field	5
relationship_name: contains; entity_name: consciousness; entity_description: Subject/keyword	5
relationship_name: contains; entity_name: cube; entity_description: Platonic solid with six square faces	5
relationship_name: contains; entity_name: e; entity_description: Euler's number, approximately equal to 2.71828, which is the base of the natural logarithm.	5
relationship_name: contains; entity_name: gravity; entity_description: A concept discussed in the chapter MEMORY	5
relationship_name: contains; entity_name: gravity; entity_description: An example of a tholonic force.	5
relationship_name: contains; entity_name: i ching; entity_description: Ancient Chinese divination text, also known as the Book of Changes.	5
relationship_name: contains; entity_name: ifapa; entity_description: Andalusian agricultural research institute, potential partner	5
relationship_name: contains; entity_name: impact agri; entity_description: Agribusiness supply chain analytics company, contact: Jon White	5
relationship_name: contains; entity_name: impact agri; entity_description: Supply chain analytics partner for West Africa	5
relationship_name: contains; entity_name: information; entity_description: Stateful result of applying energy to data, forming meaningful patterns	5
relationship_name: contains; entity_name: intelligence; entity_description: Subject/keyword	5
relationship_name: contains; entity_name: italy; entity_description: EU member state, key olive oil trade destination	5
relationship_name: contains; entity_name: january 15, 2020; entity_description: Publication date of the book THOLONIA.	5
relationship_name: contains; entity_name: knowledge; entity_description: Application of information to context	5
relationship_name: contains; entity_name: kpmg true value; entity_description: A corporate impact measurement approach that identifies economic, social, and environmental externalities, monetizes them, and presents them through a common financial metric.	5
relationship_name: contains; entity_name: negotiation; entity_description: One of the three N‑D‑C functions	5
relationship_name: contains; entity_name: phi; entity_description: The Golden Ratio, generated through a different Tholonic framework.	5
relationship_name: contains; entity_name: pi; entity_description: A mathematical constant representing the ratio of a circle's circumference to its diameter.	5
relationship_name: contains; entity_name: spain; entity_description: EU member state, largest olive oil producer	5
relationship_name: contains; entity_name: sqrt_2; entity_description: The square root of 2, an irrational number representing the diagonal of a unit square.	5
relationship_name: contains; entity_name: supplychaininstance; entity_description: A supply chain for gold detailing the various phases from extraction to recycling.	5
relationship_name: contains; entity_name: sustainability; entity_description: Used as a validity test for reason and collective systems	5
relationship_name: contains; entity_name: tetrahedron; entity_description: The most primitive three-dimensional form; a solid with four triangular faces.	5
relationship_name: contains; entity_name: thologram; entity_description: Geometric structure based on tholons	5
relationship_name: contains; entity_name: tholon; entity_description: A fundamental tholonic entity or pattern, part of the tholonic structure.	5
relationship_name: contains; entity_name: tholon; entity_description: A tholonic pattern; the instantiated form of a trigram.	5
relationship_name: contains; entity_name: tholon; entity_description: Basic unit of a fractal hierarchy	5
relationship_name: contains; entity_name: true value pricing convergence index (tvpci); entity_description: An index that measures the convergence between market price and the true value implied by structural coherence.	5
relationship_name: contains; entity_name: understanding; entity_description: Verified predictions within scope	5
relationship_name: contains; entity_name: welkin wall publishing; entity_description: Publisher of the book THOLONIA.	5
relationship_name: contains; entity_name: yang; entity_description: The creative, active, and expansive force; drives toward high entropy and full expression.	5
relationship_name: contains; entity_name: yin; entity_description: The receptive, conserving, and rejuvenating force; associated with low entropy and potential.	5
reveals_pattern	5
shaped_by	5
should_avoid	5
shows	5
specifies	5
specifies_metric	5
starts_with	5
strong_in	5
studies_basin	5
sum_of_angles	5
targets_certification	5
translates_to	5
trials_in	5
use	5
uses_framework	5
written_by	5
achieved_via	4
advocated	4
aggregates	4
always_uses_grid_type	4
asserted	4
assesses_pillar	4
attended	4
becomes	4
belongs_to_pair	4
belongs_to_path	4
between	4
binds	4
can_construct	4
can_create	4
central_to	4
challenges	4
cited_in	4
cites_source_for_question_c2	4
cites_source_for_question_c4	4
classifies	4
co_author_of	4
co_developed	4
coexists_with	4
compared_with	4
compares	4
complementary_pair	4
computed_by	4
conducts	4
considers_sacred	4
consumes	4
contains_nucleotide	4
contains_scenario	4
contains_section	4
converges_with	4
custodian_of	4
custody_transfer	4
decomposes_into	4
defined_as	4
denominator	4
depicts	4
designed	4
diagnoses	4
difference_of	4
differentiates_into	4
disrupted_by	4
distinguishes	4
divides	4
emits	4
encounters_constant	4
end_date	4
endorsed_by	4
evolved_from	4
exhibit	4
exhibits_trait	4
exists_between	4
exports	4
focus_area	4
follows_pattern_of	4
gains	4
gains_connection_to	4
generates_data_for	4
has_added_field	4
has_architecture	4
has_attractor	4
has_base	4
has_child	4
has_criterion	4
has_crystal_structure	4
has_deadline	4
has_dynamic	4
has_end_market	4
has_environmental_risk	4
has_face	4
has_file	4
has_function	4
has_geographical_scope	4
has_grid_type	4
has_language	4
has_measurable_output	4
has_publication_date	4
has_quality_requirement	4
has_risk	4
has_scenario	4
has_step	4
has_strength	4
has_vertex	4
has_zone	4
highlights	4
identified	4
impacted_by	4
implementation_guideline	4
implements_technique	4
includes_form	4
increases_risk_of	4
influence	4
input_to	4
inseparable_from	4
insufficient_for	4
integrated	4
integrated_in	4
inverse_of	4
involved	4
involved_in	4
is_a_form_of	4
is_applicable_when	4
is_defined_at	4
is_extreme_point_of_pair_with	4
is_indicator_of	4
is_mapped_to	4
is_necessary_for	4
is_represented_by	4
is_seeded_from	4
is_shared_with	4
is_universal_pattern	4
key_claim	4
layer_of	4
limits	4
listed_in	4
maps_to_vertex	4
may_receive_spo_from	4
mediates	4
mentions_organization	4
numerator	4
obeys	4
operates_within	4
operating_in	4
owned_by	4
parallels	4
parent_to	4
partners_with	4
part_of_album	4
part_of_gap_table	4
passes_through	4
physically_holds	4
preceded_by	4
preserves_link_between	4
provides_basis_for	4
provides_data_on	4
published_date	4
re_enters_at	4
regulates	4
related_concept	4
relationship_name: contains; entity_name: air; entity_description: One of the four Western cardinal elements, associated with astrological/Neo-Platonic qualities.	4
relationship_name: contains; entity_name: archetype; entity_description: In tholonic terms, a pattern that expressions of energy diverge from and/or converge towards. The chapter explores how archetypes instantiate across contexts.	4
relationship_name: contains; entity_name: aubeb_pdi_feedback_source_note; entity_description: 	4
relationship_name: contains; entity_name: awareness; entity_description: The source of existence and a fundamental field.	4
relationship_name: contains; entity_name: blue_finance_requires_character_capacity_collateral_and_consistency; entity_description: blue_finance_requires_character_capacity_collateral_and_consistency	4
relationship_name: contains; entity_name: carbon removals and carbon farming (crcf) regulation; entity_description: EU Regulation 2025/2358 forming part of the EU's regulatory architecture demanding reliable supply-chain-resolved quantitative evidence on agricultural value and environmental performance.	4
relationship_name: contains; entity_name: chaos; entity_description: Chaos represents a spectrum from 0 to ∞, with order emerging from the interaction between these extremes at the balance point of maximum interaction.	4
relationship_name: contains; entity_name: chaos; entity_description: The first principle of existence; the fertile void from which all things arise and return; a spectrum of predictability from zero to infinity. Encompasses both the pre-creational void and the turbulence of complex systems.	4
relationship_name: contains; entity_name: clarity_vs_kpmg_tvf; entity_description: clarity_vs_kpmg_tvf	4
relationship_name: contains; entity_name: consumer / end user; entity_description: Receives metered tap water at premises	4
relationship_name: contains; entity_name: contribution; entity_description: One of the three N‑D‑C functions	4
relationship_name: contains; entity_name: contribution; entity_description: Red aspect in N-D-C, the reality of a thing	4
relationship_name: contains; entity_name: contribution; entity_description: The output of Refinement, contributing to creation.	4
relationship_name: contains; entity_name: cooperativas agro-alimentarias de españa; entity_description: Spanish cooperative federation, potential partner	4
relationship_name: contains; entity_name: c-state; entity_description: Outputs produced and passed forward: material flow, custody transfer, value added.	4
relationship_name: contains; entity_name: definition; entity_description: Green aspect in N-D-C, the definition of a thing	4
relationship_name: contains; entity_name: definition; entity_description: One aspect bifurcated from the primordial awareness field.	4
relationship_name: contains; entity_name: definition; entity_description: One of the three N‑D‑C functions	4
relationship_name: contains; entity_name: d-state; entity_description: Internal constraints: physical inputs, regulations, specifications, scale.	4
relationship_name: contains; entity_name: earth; entity_description: One of the four Western cardinal elements.	4
relationship_name: contains; entity_name: e; entity_description: The base of the natural logarithm, a fundamental mathematical constant.	4
relationship_name: contains; entity_name: energy; entity_description: Fundamental entity that creates movement, follows laws, and seeks balance.	4
relationship_name: contains; entity_name: energy; entity_description: Subject of the book	4
relationship_name: contains; entity_name: eu bioeconomy strategy; entity_description: EU strategy for bioeconomy	4
relationship_name: contains; entity_name: eulersnumberinstance; entity_description: A mathematical constant generated using a factorial series.	4
relationship_name: contains; entity_name: existence; entity_description: The state of being	4
relationship_name: contains; entity_name: force; entity_description: Physical force.	4
relationship_name: contains; entity_name: golden ratio; entity_description: A mathematical constant approximately equal to 1.618, often denoted by φ.	4
relationship_name: contains; entity_name: golden ratio; entity_description: Mathematical concept represented by φ, attracting tholonic chains.	4
relationship_name: contains; entity_name: golden ratio; entity_description: The irrational number φ (phi), the attractor to which Fibonacci sequences converge.	4
relationship_name: contains; entity_name: gold forecast; entity_description: The prediction of gold prices based on market analysis and supply-demand dynamics.	4
relationship_name: contains; entity_name: gold supply chain; entity_description: A case study for the TVPCI that maps onto the Tholonic structure.	4
relationship_name: contains; entity_name: gold supply chain; entity_description: The chain from geological resource to exchange-registered bullion	4
relationship_name: contains; entity_name: i am; entity_description: phrase representing divine identity	4
relationship_name: contains; entity_name: icmm; entity_description: International Council on Mining and Metals	4
relationship_name: contains; entity_name: icpdr; entity_description: International Commission for the Protection of the Danube River	4
relationship_name: contains; entity_name: information; entity_description: A concept discussed as a candidate for the 5th form of matter	4
relationship_name: contains; entity_name: jon white; entity_description: Affiliated with Impact Agri	4
relationship_name: contains; entity_name: jon white; entity_description: Contact person at Impact Agri	4
relationship_name: contains; entity_name: kpmg true value; entity_description: A corporate impact measurement approach that identifies, monetizes, and presents economic, social, and environmental externalities.	4
relationship_name: contains; entity_name: kpmg true value; entity_description: A corporate impact measurement approach that identifies, monetizes, and presents externalities through a common financial metric.	4
relationship_name: contains; entity_name: kpmg_true_value; entity_description: KPMG True Value methodology for monetizing externalities	4
relationship_name: contains; entity_name: lbma; entity_description: London Bullion Market Association, sets Good Delivery standards for gold bars.	4
relationship_name: contains; entity_name: ln(2); entity_description: Natural logarithm of 2, ≈ 0.693.	4
relationship_name: contains; entity_name: ln(2); entity_description: The natural logarithm of 2, an important mathematical constant.	4
relationship_name: contains; entity_name: mass; entity_description: Physical mass.	4
relationship_name: contains; entity_name: mathematics; entity_description: The abstract science of number, quantity, and space.	4
relationship_name: contains; entity_name: morphic field; entity_description: A field that organizes and influences form and behavior, akin to Sheldrake's concept	4
relationship_name: contains; entity_name: natural capital accounting; entity_description: Methods to integrate economics, biodiversity and climate into supply chain accounts	4
relationship_name: contains; entity_name: natural logarithm of 2; entity_description: The mathematical constant ln(2), generated through an alternating harmonic series.	4
relationship_name: contains; entity_name: nature; entity_description: Scientific journal	4
relationship_name: contains; entity_name: negotiation; entity_description: One aspect bifurcated from the primordial awareness field.	4
relationship_name: contains; entity_name: neutron; entity_description: A subatomic particle composed of three quarks. Mentioned in the context of tholonic structures.	4
relationship_name: contains; entity_name: nothingness; entity_description: State of being nothing	4
relationship_name: contains; entity_name: n-state; entity_description: Emergent state initialized at unity (1), the first instantiated state.	4
relationship_name: contains; entity_name: ohms law; entity_description: Ohm's law: voltage = current × resistance.	4
relationship_name: contains; entity_name: olive oil; entity_description: Olive oil supply chain in Spain and Italy	4
relationship_name: contains; entity_name: order; entity_description: Order describes both the arrangement of things and the predictability of that arrangement, making it a function of perception and understanding.	4
relationship_name: contains; entity_name: order; entity_description: Structure that arises from energy seeking equilibrium, as discussed via entropy.	4
relationship_name: contains; entity_name: phi; entity_description: A mathematical constant approximately equal to 1.618, commonly denoted by φ.	4
relationship_name: contains; entity_name: phi; entity_description: The golden ratio, approximately 1.618, with unique properties in mathematics and nature.	4
relationship_name: contains; entity_name: pi over 4; entity_description: A mathematical constant involved in trigonometry, relating to the properties of circles.	4
relationship_name: contains; entity_name: prime numbers; entity_description: Numbers greater than 1 that have no positive divisors other than 1 and themselves.	4
relationship_name: contains; entity_name: proton; entity_description: A subatomic particle composed of three quarks. Mentioned in the context of tholonic structures.	4
relationship_name: contains; entity_name: reason; entity_description: Chapter 7 of the book, exploring the nature of reason	4
relationship_name: contains; entity_name: rupert sheldrake; entity_description: Author of book on morphic fields	4
relationship_name: contains; entity_name: self-similarity; entity_description: The property of a pattern being similar to a part of itself, evident in phyllotaxis and the golden ratio.	4
relationship_name: contains; entity_name: senegal; entity_description: West African country	4
relationship_name: contains; entity_name: shea; entity_description: Shea butter supply chain from West Africa to EU	4
relationship_name: contains; entity_name: somethingness; entity_description: State of being something	4
relationship_name: contains; entity_name: strong nuclear force; entity_description: The strongest force in the Universe, holding subatomic particles together, with properties like asymptotic freedom.	4
relationship_name: contains; entity_name: structural coherence; entity_description: Condition when D and C are balanced within a phase; measured by φ amplification ratio.	4
relationship_name: contains; entity_name: supply chain; entity_description: A sequence of transformations requiring a stable operational entity.	4
relationship_name: contains; entity_name: supply chain; entity_description: Sequence of transformations requiring stable operational entities.	4
relationship_name: contains; entity_name: tetrahedron; entity_description: Tetrahedron	4
relationship_name: contains; entity_name: thologram; entity_description: three-column structure partitioning numbers into tholonic roles	4
relationship_name: contains; entity_name: tholon; entity_description: A fundamental unit possessing a form of intelligence appropriate to its scope, interacting via N-D-C architecture.	4
relationship_name: contains; entity_name: tholon; entity_description: A neologism representing a fundamental unit of expression, some of which can create new tholons and others cannot.	4
relationship_name: contains; entity_name: tholonic model; entity_description: A model that begins from zero and unity, representing the simplest state.	4
relationship_name: contains; entity_name: tholonic model; entity_description: The tholonic view that everything emerges from nothing, bridging parallels between wave functions and archetypes	4
relationship_name: contains; entity_name: tholonic_model; entity_description: Tholonic N-D-C Model	4
relationship_name: contains; entity_name: tholonicmodelinstance; entity_description: Distinct mathematical structures that govern convergence toward constants.	4
relationship_name: contains; entity_name: tholonic recursion; entity_description: The iterative process within the Tholonic model that generates successive states.	4
relationship_name: contains; entity_name: tholonic recursion; entity_description: The recursive structure that generates Fibonacci numbers and other numerical patterns.	4
relationship_name: contains; entity_name: true value pricing convergence index; entity_description: An index measuring convergence between market price and true value of a supply chain.	4
relationship_name: contains; entity_name: tvpci; entity_description: A diagnostic and optimization instrument for assessing value amplification and coherence in the gold chain.	4
relationship_name: contains; entity_name: twistor_theory; entity_description: Penrose's Twistor Theory	4
relationship_name: contains; entity_name: water; entity_description: A substance that naturally forms tetrahedral networks (liquid) and hexagonal lattices (ice), symbolizing cyclical transformation.	4
relationship_name: contains; entity_name: water; entity_description: One of the four Western cardinal elements.	4
